Term; link;vidstart; level; text; start;minutes;seconds
Electron;https://pypi.org/project/python-electron/;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m16s;3;A Python interface for Apache Electron command line interface; 0:02:16.800;02;16
U/I;https://github.com/trustoverip/acdc/wiki/user-interface-(U-I);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m16s;1;A user interface (UI) is the space where interactions between humans and machines occur.; 0:02:16.800;02;16
multi-sig;https://github.com/trustoverip/acdc/wiki/multisig;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m29s;1;A digital signature scheme which allows a group of users to sign a single piece of digital data.; 0:02:29.600;02;29
identifier;https://github.com/trustoverip/acdc/wiki/identifier-system;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m29s;3;"Something to uniquely identify (public) identities; pointing to something or someone else."; 0:02:29.600;02;29
wallet;https://github.com/trustoverip/acdc/wiki/wallet;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m34s;7;"A wallet is a collection of data stores; made up of a keystore, local and remote key event log database and credential database. "; 0:02:34.320;02;34
wallet commands;https://docs.google.com/presentation/d/1RIMX7J-cdg8OctoG4JqxPOfqKZsVNodqajtpQ0oFIyE/edit#slide=id.gf2168aef68_0_12;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m34s;7;The section of kli where verifiable credentials can be listed; 0:02:34.320;02;34
witnesses;https://github.com/trustoverip/acdc/wiki/witness;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m44s;7;Entity that may receive, verify, and store key events for an identifier; 0:02:44.560;02;44
watchers;https://github.com/trustoverip/acdc/wiki/watcher;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=02m44s;7;Guarantee that KERI logs are immutable; 0:02:44.560;02;44
key management;https://github.com/trustoverip/acdc/wiki/key-management;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m16s;7;Management of cryptographic keys in a crypto-system.; 0:04:16.400;04;16
init;https://docs.google.com/presentation/d/1RIMX7J-cdg8OctoG4JqxPOfqKZsVNodqajtpQ0oFIyE/edit#slide=id.gf2168aef68_0_12;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m21s;3;Initialization, a command in the kli; 0:04:21.360;04;21
single sig identifier;https://github.com/trustoverip/acdc/wiki/single-signature-identifier;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m27s;3;An identifier that is controlled by a one-of-one signing keypair; 0:04:27.920;04;27
key store;https://github.com/trustoverip/acdc/wiki/keystore;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m33s;7;A keystore in KERI is the encrypted data store that hold the private keys for a collection of AIDs.; 0:04:33.600;04;33
key events;https://github.com/trustoverip/acdc/wiki/key-event;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m39s;3;Events happening to controlling keys of an identifier recorded in a Key Event Log (KEL).; 0:04:39.440;04;39
interaction event;https://github.com/trustoverip/acdc/wiki/interaction-event;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m39s;7;Anchors external data to the key-state as established by the most recent prior establishment event; 0:04:39.440;04;39
rotation event;https://github.com/trustoverip/acdc/wiki/rotation-event;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m39s;7;Changes the key-state which includes a change to the set of authoritative keypairs for an AID; 0:04:39.440;04;39
signing thresholds;https://github.com/trustoverip/acdc/wiki/signing-threshold;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=04m48s;7;Minimum number of valid signatures to satisfy the requirement for successful validation; 0:04:48.480;04;48
KEL;https://github.com/trustoverip/acdc/wiki/key-event-log-(KEL);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=05m01s;7;Key Event Log is the native KERI verifiable data structure; 0:05:01.600;05;01
verify signatures;https://github.com/trustoverip/acdc/wiki/verify-signature;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=05m32s;3;Applying an algorithm that either accepts or rejects the message's claim to authenticity; 0:05:32.000;05;32
peer-to-peer communications;https://github.com/trustoverip/acdc/wiki/peer-to-peer-(P2P);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=06m13s;3;Peers are equally privileged, equipotent participants in a network;0:06:13.600;06;13
bootstrap command;https://docs.google.com/presentation/d/1RIMX7J-cdg8OctoG4JqxPOfqKZsVNodqajtpQ0oFIyE/edit#slide=id.gf2168aef68_0_20;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=06m31s;3;Start an empty agent or to run a single agent against one that's already been started;0:06:31.280;06;31
salts;https://github.com/trustoverip/acdc/wiki/salt;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=06m50s;7;Random data that is used as an additional input to a cryptographic one-way function; 0:06:50.480;06;50
delegation;https://github.com/trustoverip/acdc/wiki/delegation;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=07m44s;7;Delegation can be defined as “the act of empowering to act for another”;0:07:44.720;07;44
multi-sig delegation;https://github.com/trustoverip/acdc/wiki/delegation;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=07m44s;7;delegated identifiers under multi-signature control;0:07:44.720;07;44
JSON;https://en.wikipedia.org/wiki/JSON;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=08m08s;3;JavaScript Object Notation; 0:08:08.320;08;08
transferable;https://github.com/trustoverip/acdc/wiki/transferable-identifier;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=08m34s;7;Control over identifier can be transferred by rotating keys;0:08:34.880;08;34
ports;https://en.wikipedia.org/wiki/Port_(computer_networking);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=09m04s;3;A number assigned to uniquely identify a connection endpoint and to direct data to a specific service.;0:09:04.800;09;04
configuration file;https://github.com/trustoverip/acdc/wiki/configuration-files;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=09m16s;1;File used to configure the parameters and initial settings for some computer programs;0:09:16.000;09;16
REST;https://github.com/WebOfTrust/keri/blob/main/docs/keri-dev-env.md#what-exactly-is-a-rest-api;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=10m00s;3;REpresentational State Transfer (REST) is a software architectural style that developers apply to web APIs;0:10:00.240;10;00
APIs;https://github.com/WebOfTrust/keri/blob/main/docs/keri-dev-env.md#what-exactly-is-a-rest-api;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=10m00s;3;Application Programming Interface;0:10:00.240;10;00
CURL;https://en.wikipedia.org/wiki/CURL;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=10m17s;3;Command-line tool (curl) for transferring data using various network protocols. ;0:10:17.440;10;17
post and put;https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=10m17s;3;HTTP request methods to indicate the desired action to be performed on the identified resource ;0:10:17.440;10;17
Swagger;https://github.com/WebOfTrust/keri/blob/main/docs/keri-dev-env.md#what-is-swagger-and-openapi;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=10m31s;7;OpenAPI (former Swagger) is important to KERI, CESR and ACDC. It's open sourced and has many ready-usable extensions in JSON available.; 0:10:31.600;10;31
passcode;https://github.com/trustoverip/acdc/wiki/passcode;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=11m06s;3;Secret data, typically a string of characters, usually used to confirm a user's identity;0:11:06.560;11;06
stretched into an encryption key;https://github.com/trustoverip/acdc/wiki/key-stretching;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=11m11s;7;make a possibly weak key, typically a password or passphrase, more secure against a brute-force attack by increasing the resources; 0:11:11.360;11;11
flag;https://en.wikipedia.org/wiki/Verbose_mode;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=12m20s;3;"Many command line programs can be set to various mode by using a flag; e.g. -v or --verbose for verbose mode";0:12:20.240;12;20
non-transferable identifier;https://github.com/trustoverip/acdc/wiki/non-transferable-identitifer;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=14m28s;7;Controlling keys over this identifier cannot be rotated and therefore this identifier is non-transferable to other control;0:14:28.240;14;28
toad;https://github.com/WebOfTrust/keripy/blob/28873f42aabef096d2b6f4bf1af5dbd9e219d13f/src/keri/core/eventing.py;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=15m37s;7;Field in KERI data structure for describing the witness thresshold; 0:15:37.120;15;37
witness threshold;https://github.com/trustoverip/acdc/wiki/threshold-signature-scheme;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=15m37s;7;The minimum number of valid witness signatures required; 0:15:37.120;15;37
pre-rotation;https://github.com/trustoverip/acdc/wiki/pre-rotation;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=15m54s;7;commitment to next rotated key set in previous rotation or inception event; 0:15:54.320;15;54
prefixes;https://github.com/trustoverip/acdc/wiki/prefix;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=16m47s;7;A prefix that is composed of a basic Base-64 (URL safe) derivation code pre-pended to Base-64 encoding of a basic public digital signing key; 0:16:47.520;16;47
Base64;https://github.com/trustoverip/acdc/wiki/base64;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=16m53s;7;A group of binary-to-text encoding schemes that represent binary data;0:16:53.520;16;53
qualified;https://github.com/trustoverip/acdc/wiki/qualified;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=16m53s;7;when qualified, a cryptographic primitive includes a prepended derivation code; 0:16:53.520;16;53
derivation code;https://github.com/trustoverip/acdc/wiki/derivation-code;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=16m53s;7;A special character that encodes the derivation process, pre-pended to the identifier;0:16:53.520;16;53
Blake3 hash;https://github.com/trustoverip/acdc/wiki/blake3;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=16m57s;7;BLAKE3 is a relatively young (2020) cryptographic hash function based on Bao and BLAKE2.;0:16:57.920;16;57
anchor data into;https://github.com/trustoverip/acdc/wiki/data-anchor;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=17m14s;7;Data anchors are digests of digital data, that uniquely identify this data; 0:17:14.720;17;14
AID;https://github.com/trustoverip/acdc/wiki/autonomic-identifier-(AID);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=17m50s;7;An identifier that is self-certifying and self-sovereign; 0:17:50.640;17;50
sequence number;https://www.storyofmathematics.com/number-sequences/;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=17m57s;3;Incremental number in a log; 0:17:57.280;17;57
digest;https://github.com/trustoverip/acdc/wiki/digest;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=17m57s;3;Verifiable cryptographic commitment. It's a collision resistant hash of content; 0:17:57.280;17;57
issuance event;https://github.com/trustoverip/acdc/wiki/issuance-event;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=18m02s;7;The inception event of a verifiable credential;0:18:02.640;18;02
public transaction event log;https://github.com/trustoverip/acdc/wiki/public-transaction-event-log-(PTEL);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=18m05s;7;Is a hash linked data structure of transactions that can be used to track state; 0:18:05.840;18;05
verifiable;https://github.com/trustoverip/acdc/wiki/verify-signature;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=19m34s;7;When you can succesfully verify a signature;0:19:34.880;19;34
establishment;https://github.com/trustoverip/acdc/wiki/establishment-event;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=19m39s;7;An event that establishes control authority; 0:19:39.440;19;39
lmdb databases;https://en.wikipedia.org/wiki/Lightning_Memory-Mapped_Database;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=21m42s;7;Lightning Memory-Mapped Database; 0:21:42.000;21;42
indexed signatures;https://github.com/trustoverip/acdc/wiki/indexed-signature ;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=23m46s;7;"Used when signing anything with a multi-key autonomic identifier; a verifier knows which of the multiple public keys was used"; 0:23:46.480;23;46
hex;https://en.wikipedia.org/wiki/Hexadecimal;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=23m59s;3;Hexadecimal notation;0:23:59.040;23;59
verbose;https://en.wikipedia.org/wiki/Verbose_mode;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=25m01s;3;An option available in many computer operating systems and programming languages that provides additional details as to what the computer is doing;0:25:01.600;25;01
self-addressing identifiers;https://github.com/trustoverip/acdc/wiki/self-addressing-identifier-(SAID);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=25m29s;7;An identifier that is deterministically generated from and embedded in the content it identifies, making it and its data mutually tamper-evident;0:25:29.040;25;29
backer;https://github.com/trustoverip/acdc/wiki/backer;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=27m48s;7;Backers include both regular KERI witnesses and ledger-registered backers; 0:27:48.240;27;48
ledger backer;https://github.com/trustoverip/acdc/wiki/ledger-backer;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=27m55s;7;A witness in KERI that is ledger-registered; 0:27:55.840;27;55
witness backer;https://github.com/trustoverip/acdc/wiki/witness;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=27m55s;7;A native KERI witness whose control authority is established in a KEL;0:27:55.840;27;55
vLEI;https://github.com/trustoverip/acdc/wiki/verifiable-legal-entity-identifier-(vLEI);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=30m17s;7;Digital verifiable credentials issued by (delegates) of GLEIF to prove that information about a legel entity is verifiably authentic; 0:30:17.200;30;17
SSI system;https://github.com/trustoverip/acdc/wiki/ssi-system;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=30m22s;1;SSI Infrastructure consisting of the technological components that are deployed all over the world; 0:30:22.800;30;22
Indy network;https://www.hyperledger.org/use/hyperledger-indy;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=30m22s;7;Hyperledger Indy network is an SSI system based on a private blockchain; 0:30:22.800;30;22
transfer off a ledger;https://github.com/trustoverip/acdc/wiki/transfer-off-ledger;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=30m39s;7;The act of transferring control authority over an identifier from a ledger (or blockchain) to the native verifiable KERI data structure KEL; 0:30:39.040;30;39
Ethereum;https://ethereum.org/en/;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=31m02s;7;Ethereum is the community-run technology powering the cryptocurrency ether (ETH) and thousands of decentralized applications; 0:31:02.080;31;02
Aries;https://www.hyperledger.org/use/aries;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=31m46s;7;Hyperledger Aries provides an interoperable tool kit for creating, transmitting and storing verifiable digital credentials; 0:31:46.880;31;46
service endpoints;https://github.com/trustoverip/acdc/wiki/service-endpoint;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=32m54s;3;A web service endpoint which is a URL at which clients of specific service can get access to the service.;0:32:54.640;32;54
URLs;https://github.com/trustoverip/acdc/wiki/uniform-resource-locator-(URL);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=33m00s;1;A reference to a web resource that specifies its location on a computer network and a mechanism for retrieving it; 0:33:00.720;33;00
IP-address;https://github.com/trustoverip/acdc/wiki/ip-address;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=33m42s;1;A numerical label such as '192.0.2.1' that is connected to a computer network that uses the Internet Protocol for communication; 0:33:42.160;33;42
TCP endpoint;https://github.com/trustoverip/acdc/wiki/tcp-endpoint;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=34m00s;3;This is a service endpoint of the web transmission control protocol; 0:34:00.320;34;00
inquisitor;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=37m19s;7;; 0:37:19.280;37;19
dip: tag;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=49m13s;7;;0:49:13.520;49;13
icp: tag;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=49m13s;7;;0:49:13.520;49;13
di: tag;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=49m20s;7;;0:49:20.000;49;20
locked state;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=52m22s;7;; 0:52:22.640;52;22
onepass;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=53m04s;7;; 0:53:04.320;53;04
data OOBIs;https://github.com/trustoverip/acdc/wiki/out-of-band-introduction-(OOBI);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=53m48s;7;data out-of-band ntroductions; 0:53:48.720;53;48
credential schema OOBIs;https://github.com/trustoverip/acdc/wiki/out-of-band-introduction-(OOBI);https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=53m54s;7;credential schema out-of-band ntroductions; 0:53:54.800;53;54
Keep;https://github.com/trustoverip/acdc/wiki/keep;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=54m12s;7;Is KERI's and ACDC's crypto wallet: A task orientated application for managing AIDs in ecosystems, e.g. the vLEI Ecosystem;0:54:12.560;54;12
zero trust;https://github.com/trustoverip/acdc/wiki/zero-trust;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=55m37s;3;a Zero Trust approach trusts no one;0:55:37.600;55;37
credential registries;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=55m53s;3;;0:55:53.840;55;53
revocation events;https://github.com/trustoverip/acdc/wiki/revocation-event;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=55m58s;3;An event that revokes control authority over an identifier;0:55:58.400;55;58
two-factor auth;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=56m13s;1;;0:56:13.360;56;13
escrow states;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=56m59s;7;;0:56:59.200;56;59
server-sent events;;https://youtu.be/GqjsRuu0V5A?list=PLXVbQu7JH_LHVhs0rZ9Bb8ocyKlPljkaG&t=57m19s;7;;0:57:19.920;57;19
